home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Colombia,Côte d'Ivoire,2,1,68748,"Estádio Nacional de Brasília, Brasília",Group stage,19-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Uruguay,England,2,1,62575,"Arena Corinthians, São Paulo",Group stage,19-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Japan,Greece,0,0,39485,"Arena das Dunas, Natal",Group stage,19-06-2014,0–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Australia,Netherlands,2,3,42877,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,18-06-2014,2–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Spain,Chile,0,2,74101,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,18-06-2014,0–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Cameroon,Croatia,0,4,39982,"Arena da Amazônia, Manaus",Group stage,18-06-2014,0–4,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Belgium,Algeria,2,1,56800,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,17-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Mexico,0,0,60342,"Estádio Castelão, Fortaleza",Group stage,17-06-2014,0–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Russia,Korea Republic,1,1,37603,"Arena Pantanal, Cuiabá",Group stage,17-06-2014,1–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Germany,Portugal,4,0,51081,"Itaipava Arena Fonte Nova, Salvador",Group stage,16-06-2014,4–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
IR Iran,Nigeria,0,0,39081,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,16-06-2014,0–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Ghana,United States,1,2,39760,"Arena das Dunas, Natal",Group stage,16-06-2014,1–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Switzerland,Ecuador,2,1,68351,"Estádio Nacional de Brasília, Brasília",Group stage,15-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
France,Honduras,3,0,43012,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,15-06-2014,3–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Argentina,Bosnia and Herzegovina,2,1,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,15-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Colombia,Greece,3,0,57174,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,14-06-2014,3–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Uruguay,Costa Rica,1,3,58679,"Estádio Castelão, Fortaleza",Group stage,14-06-2014,1–3,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
England,Italy,1,2,39800,"Arena da Amazônia, Manaus",Group stage,14-06-2014,1–2,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Japan,2,1,40267,"Itaipava Arena Pernambuco, Recife",Group stage,14-06-2014,2–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Mexico,Cameroon,1,0,39216,"Arena das Dunas, Natal",Group stage,13-06-2014,1–0,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Spain,Netherlands,1,5,48173,"Itaipava Arena Fonte Nova, Salvador",Group stage,13-06-2014,1–5,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Chile,Australia,3,1,40275,"Arena Pantanal, Cuiabá",Group stage,13-06-2014,3–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Brazil,Croatia,3,1,62103,"Arena Corinthians, São Paulo",Group stage,12-06-2014,3–1,Brazil,2014,,,,,,,,,,,,,,,,,,,,,
Netherlands,Spain,0,1,84490,"Soccer City, Johannesburg",Final,11-07-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Uruguay,Germany,2,3,36254,"Nelson Mandela Bay Stadium, Port Elizabeth",Third-place match,10-07-2010,2–3,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Germany,Spain,0,1,60960,"Moses Mabhida Stadium, Durban",Semi-finals,07-07-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Uruguay,Netherlands,2,3,62479,"Cape Town Stadium, Cape Town",Semi-finals,06-07-2010,2–3,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Argentina,Germany,0,4,64100,"Cape Town Stadium, Cape Town",Quarter-finals,03-07-2010,0–4,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Paraguay,Spain,0,1,55359,"Emirates Airline Park, Johannesburg",Quarter-finals,03-07-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Netherlands,Brazil,2,1,40186,"Nelson Mandela Bay Stadium, Port Elizabeth",Quarter-finals,02-07-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Uruguay,Ghana,1,1,84017,"Soccer City, Johannesburg",Quarter-finals,02-07-2010,(4) 1–1 (2),South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Paraguay,Japan,0,0,36742,"Loftus Versfeld Stadium, Pretoria",Round of 16,29-06-2010,(5) 0–0 (3),South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Spain,Portugal,1,0,62955,"Cape Town Stadium, Cape Town",Round of 16,29-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Netherlands,Slovakia,2,1,61962,"Moses Mabhida Stadium, Durban",Round of 16,28-06-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Brazil,Chile,3,0,54096,"Emirates Airline Park, Johannesburg",Round of 16,28-06-2010,3–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Germany,England,4,1,40510,"Toyota Stadium, Bloemfontein",Round of 16,27-06-2010,4–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Argentina,Mexico,3,1,84377,"Soccer City, Johannesburg",Round of 16,27-06-2010,3–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Uruguay,Korea Republic,2,1,30597,"Nelson Mandela Bay Stadium, Port Elizabeth",Round of 16,26-06-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
United States,Ghana,1,2,34976,"Royal Bafokeng Stadium, Phokeng",Round of 16,26-06-2010,1–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Portugal,Brazil,0,0,62712,"Moses Mabhida Stadium, Durban",Group stage,25-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Korea DPR,Côte d'Ivoire,0,3,34763,"Mbombela Stadium, Nelspruit",Group stage,25-06-2010,0–3,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Chile,Spain,1,2,41958,"Loftus Versfeld Stadium, Pretoria",Group stage,25-06-2010,1–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Switzerland,Honduras,0,0,28042,"Toyota Stadium, Bloemfontein",Group stage,25-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Paraguay,New Zealand,0,0,34850,"Peter Mokaba Stadium, Polokwane",Group stage,24-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Slovakia,Italy,3,2,53412,"Emirates Airline Park, Johannesburg",Group stage,24-06-2010,3–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Denmark,Japan,1,3,27967,"Royal Bafokeng Stadium, Phokeng",Group stage,24-06-2010,1–3,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Cameroon,Netherlands,1,2,63093,"Cape Town Stadium, Cape Town",Group stage,24-06-2010,1–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Slovenia,England,0,1,36893,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,23-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
United States,Algeria,1,0,35827,"Loftus Versfeld Stadium, Pretoria",Group stage,23-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Ghana,Germany,0,1,83391,"Soccer City, Johannesburg",Group stage,23-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Australia,Serbia,2,1,37836,"Mbombela Stadium, Nelspruit",Group stage,23-06-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Mexico,Uruguay,0,1,33425,"Royal Bafokeng Stadium, Phokeng",Group stage,22-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
France,South Africa,1,2,39415,"Toyota Stadium, Bloemfontein",Group stage,22-06-2010,1–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Nigeria,Korea Republic,2,2,61874,"Moses Mabhida Stadium, Durban",Group stage,22-06-2010,2–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Greece,Argentina,0,2,38891,"Peter Mokaba Stadium, Polokwane",Group stage,22-06-2010,0–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Portugal,Korea DPR,7,0,63644,"Cape Town Stadium, Cape Town",Group stage,21-06-2010,7–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Chile,Switzerland,1,0,34872,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,21-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Spain,Honduras,2,0,54386,"Emirates Airline Park, Johannesburg",Group stage,21-06-2010,2–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Slovakia,Paraguay,0,2,26643,"Toyota Stadium, Bloemfontein",Group stage,20-06-2010,0–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Italy,New Zealand,1,1,38229,"Mbombela Stadium, Nelspruit",Group stage,20-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Brazil,Côte d'Ivoire,3,1,84455,"Soccer City, Johannesburg",Group stage,20-06-2010,3–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Netherlands,Japan,1,0,62010,"Moses Mabhida Stadium, Durban",Group stage,19-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Ghana,Australia,1,1,34812,"Royal Bafokeng Stadium, Phokeng",Group stage,19-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Cameroon,Denmark,1,2,38074,"Loftus Versfeld Stadium, Pretoria",Group stage,19-06-2010,1–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Germany,Serbia,0,1,38294,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,18-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Slovenia,United States,2,2,45573,"Emirates Airline Park, Johannesburg",Group stage,18-06-2010,2–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
England,Algeria,0,0,64100,"Cape Town Stadium, Cape Town",Group stage,18-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Argentina,Korea Republic,4,1,82174,"Soccer City, Johannesburg",Group stage,17-06-2010,4–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Greece,Nigeria,2,1,31593,"Toyota Stadium, Bloemfontein",Group stage,17-06-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
France,Mexico,0,2,35370,"Peter Mokaba Stadium, Polokwane",Group stage,17-06-2010,0–2,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Honduras,Chile,0,1,32664,"Mbombela Stadium, Nelspruit",Group stage,16-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Spain,Switzerland,0,1,62453,"Moses Mabhida Stadium, Durban",Group stage,16-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
South Africa,Uruguay,0,3,42658,"Loftus Versfeld Stadium, Pretoria",Group stage,16-06-2010,0–3,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
New Zealand,Slovakia,1,1,23871,"Royal Bafokeng Stadium, Phokeng",Group stage,15-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Portugal,0,0,37034,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,15-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Brazil,Korea DPR,2,1,54331,"Emirates Airline Park, Johannesburg",Group stage,15-06-2010,2–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Netherlands,Denmark,2,0,83465,"Soccer City, Johannesburg",Group stage,14-06-2010,2–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Japan,Cameroon,1,0,30620,"Toyota Stadium, Bloemfontein",Group stage,14-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Italy,Paraguay,1,1,62869,"Cape Town Stadium, Cape Town",Group stage,14-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Algeria,Slovenia,0,1,30325,"Peter Mokaba Stadium, Polokwane",Group stage,13-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Serbia,Ghana,0,1,38833,"Loftus Versfeld Stadium, Pretoria",Group stage,13-06-2010,0–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Germany,Australia,4,0,62660,"Moses Mabhida Stadium, Durban",Group stage,13-06-2010,4–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Greece,2,0,31513,"Nelson Mandela Bay Stadium, Port Elizabeth",Group stage,12-06-2010,2–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Argentina,Nigeria,1,0,55686,"Emirates Airline Park, Johannesburg",Group stage,12-06-2010,1–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
England,United States,1,1,38646,"Royal Bafokeng Stadium, Phokeng",Group stage,12-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
South Africa,Mexico,1,1,84490,"Soccer City, Johannesburg",Group stage,11-06-2010,1–1,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Uruguay,France,0,0,64100,"Cape Town Stadium, Cape Town",Group stage,11-06-2010,0–0,South Africa,2010,,,,,,,,,,,,,,,,,,,,,
Italy,France,1,1,69000,"Olympiastadion Berlin, Berlin",Final,09-07-2006,(5) 1–1 (3),Germany,2006,,['19&rsquor;|1:1|Marco Materazzi'],,,,,Zinédine Zidane (P) · 7,,,"['1|1:0|Andrea Pirlo', '3|2:1|Marco Materazzi', '5|3:1|Daniele De Rossi', '7|4:2|Alessandro Del Piero', '9|5:3|Fabio Grosso']","['2|1:1|Sylvain Wiltord', '6|3:2|Éric Abidal', '8|4:3|Willy Sagnol']",,['4|2:1|David Trezeguet'],,Zinédine Zidane · 110,,,['5&rsquor;|0:0|Gianluca Zambrotta'],"['12&rsquor;|0:1|Willy Sagnol', '76&rsquor;|1:1|Claude Makélélé', '111&rsquor;|1:1|Florent Malouda']","['61&rsquor;|1:1|Vincenzo Iaquinta|for Simone Perrotta', '61&rsquor;|1:1|Daniele De Rossi|for Francesco Totti', '86&rsquor;|1:1|Alessandro Del Piero|for Mauro Camoranesi']","['56&rsquor;|1:1|Alou Diarra|for Patrick Vieira', '100&rsquor;|1:1|David Trezeguet|for Franck Ribéry', '107&rsquor;|1:1|Sylvain Wiltord|for Thierry Henry']"
Germany,Portugal,3,1,52000,"Mercedes-Benz Arena, Stuttgart",Third-place match,08-07-2006,3–1,Germany,2006,Nuno Gomes · 88,"['56&rsquor;|1:0|Bastian Schweinsteiger', '78&rsquor;|3:0|Bastian Schweinsteiger']",['88&rsquor;|3:1|Nuno Gomes'],Petit (OG) · 60,,,,,,,,,,,,,,"['7&rsquor;|0:0|Torsten Frings', '78&rsquor;|2:0|Bastian Schweinsteiger']","['24&rsquor;|0:0|Ricardo Costa', '33&rsquor;|0:0|Costinha', '60&rsquor;|1:0|Paulo Ferreira']","['65&rsquor;|2:0|Oliver Neuville|for Miroslav Klose', '71&rsquor;|2:0|Mike Hanke|for Lukas Podolski', '79&rsquor;|3:0|Thomas Hitzlsperger|for Bastian Schweinsteiger']","['46&rsquor;|0:0|Petit|for Costinha', '69&rsquor;|2:0|Nuno Gomes|for Nuno Valente', '77&rsquor;|2:0|Luís Figo|for Pauleta']"
Portugal,France,0,1,66000,"Allianz Arena, München",Semi-finals,05-07-2006,0–1,Germany,2006,,,,,,,Zinédine Zidane (P) · 33,,,,,,,,,,,['83&rsquor;|0:1|Ricardo Carvalho'],['87&rsquor;|0:1|Louis Saha'],"['62&rsquor;|0:1|Paulo Ferreira|for Miguel Monteiro', '68&rsquor;|0:1|Simão Sabrosa|for Pauleta', '75&rsquor;|0:1|Hélder Postiga|for Costinha']","['69&rsquor;|0:1|Sylvain Wiltord|for Florent Malouda', '72&rsquor;|0:1|Sidney Govou|for Franck Ribéry', '85&rsquor;|0:1|Louis Saha|for Thierry Henry']"
Germany,Italy,0,2,65000,"Signal Iduna Park, Dortmund",Semi-finals,04-07-2006,0–2,Germany,2006,Fabio Grosso · 119|Alessandro Del Piero · 120+1,,"['119&rsquor;|0:1|Fabio Grosso', '120+1&rsquor;|0:2|Alessandro Del Piero']",,,,,,,,,,,,,,,"['40&rsquor;|0:0|Tim Borowski', '56&rsquor;|0:0|Christoph Metzelder']",['90&rsquor;|0:0|Mauro Camoranesi'],"['73&rsquor;|0:0|Bastian Schweinsteiger|for Tim Borowski', '83&rsquor;|0:0|David Odonkor|for Bernd Schneider', '111&rsquor;|0:0|Oliver Neuville|for Miroslav Klose']","['74&rsquor;|0:0|Alberto Gilardino|for Luca Toni', '91&rsquor;|0:0|Vincenzo Iaquinta|for Mauro Camoranesi', '104&rsquor;|0:0|Alessandro Del Piero|for Simone Perrotta']"
England,Portugal,0,0,52000,"Veltins-Arena, Gelsenkirchen",Quarter-finals,01-07-2006,(1) 0–0 (3),Germany,2006,,,,,,,,,,['4|1:1|Owen Hargreaves'],"['1|0:1|Simão Sabrosa', '7|1:2|Hélder Postiga', '9|1:3|Cristiano Ronaldo']","['2|0:1|Frank Lampard', '6|1:1|Steven Gerrard', '8|1:2|Jamie Carragher']","['3|0:1|Hugo Viana', '5|1:1|Petit']",Wayne Rooney · 62,,,,"['30&rsquor;|0:0|John Terry', '107&rsquor;|0:0|Owen Hargreaves']","['44&rsquor;|0:0|Petit', '111&rsquor;|0:0|Ricardo Carvalho']","['52&rsquor;|0:0|Aaron Lennon|for David Beckham', '65&rsquor;|0:0|Peter Crouch|for Joe Cole', '119&rsquor;|0:0|Jamie Carragher|for Aaron Lennon']","['63&rsquor;|0:0|Simão Sabrosa|for Pauleta', '74&rsquor;|0:0|Hugo Viana|for Tiago Mendes', '86&rsquor;|0:0|Hélder Postiga|for Luís Figo']"
Brazil,France,0,1,48000,"Commerzbank-Arena, Frankfurt am Main",Quarter-finals,01-07-2006,0–1,Germany,2006,Thierry Henry · 57,,['57&rsquor;|0:1|Thierry Henry'],,,,,,,,,,,,,,,"['25&rsquor;|0:0|Cafú', '45&rsquor;|0:0|Juan', '45+2&rsquor;|0:0|Ronaldo', '75&rsquor;|0:1|Lúcio']","['74&rsquor;|0:1|Willy Sagnol', '87&rsquor;|0:1|Louis Saha', '88&rsquor;|0:1|Lilian Thuram']","['63&rsquor;|0:1|Adriano|for Juninho Pernambucano', '76&rsquor;|0:1|Cicinho|for Cafú', '79&rsquor;|0:1|Robinho|for Kaká']","['77&rsquor;|0:1|Sidney Govou|for Franck Ribéry', '81&rsquor;|0:1|Sylvain Wiltord|for Florent Malouda', '86&rsquor;|0:1|Louis Saha|for Thierry Henry']"
Germany,Argentina,1,1,72000,"Olympiastadion Berlin, Berlin",Quarter-finals,30-06-2006,(4) 1–1 (2),Germany,2006,Roberto Ayala · 49,['80&rsquor;|1:1|Miroslav Klose'],['49&rsquor;|0:1|Roberto Ayala'],,,,,,,"['1|1:0|Oliver Neuville', '3|2:1|Michael Ballack', '5|3:1|Lukas Podolski', '7|4:2|Tim Borowski']","['2|1:1|Julio Ricardo Cruz', '6|3:2|Maxi Rodríguez']",,"['4|2:1|Roberto Ayala', '8|4:2|Esteban Cambiasso']",,,,,"['3&rsquor;|0:0|Lukas Podolski', '90+4&rsquor;|1:1|David Odonkor', '114&rsquor;|1:1|Arne Friedrich']","['46&rsquor;|0:0|Juan Pablo Sorín', '60&rsquor;|0:1|Javier Mascherano', '88&rsquor;|1:1|Maxi Rodríguez', '95&rsquor;|1:1|Julio Ricardo Cruz']","['62&rsquor;|0:1|David Odonkor|for Bernd Schneider', '74&rsquor;|0:1|Tim Borowski|for Bastian Schweinsteiger', '86&rsquor;|1:1|Oliver Neuville|for Miroslav Klose']","['71&rsquor;|0:1|Leo Franco|for Pato Abbondanzieri', '72&rsquor;|0:1|Esteban Cambiasso|for Juan Román Riquelme', '79&rsquor;|0:1|Julio Ricardo Cruz|for Hernán Crespo']"
Italy,Ukraine,3,0,50000,"Volksparkstadion, Hamburg",Quarter-finals,30-06-2006,3–0,Germany,2006,,"['6&rsquor;|1:0|Gianluca Zambrotta', '59&rsquor;|2:0|Luca Toni', '69&rsquor;|3:0|Luca Toni']",,,,,,,,,,,,,,,,,"['16&rsquor;|1:0|Vyacheslav Sviderskyi', '21&rsquor;|1:0|Maksym Kalynychenko', '67&rsquor;|2:0|Artem Milevskiy']","['68&rsquor;|2:0|Massimo Oddo|for Mauro Camoranesi', '68&rsquor;|2:0|Simone Barone|for Andrea Pirlo', '77&rsquor;|3:0|Cristian Zaccardo|for Gennaro Gattuso']","['20&rsquor;|1:0|Andriy Vorobey|for Vyacheslav Sviderskyi', '47&rsquor;|1:0|Vladyslav Vashchuk|for Andriy Rusol', '72&rsquor;|3:0|Oleksiy Byelik|for Artem Milevskiy']"
Brazil,Ghana,3,0,65000,"Signal Iduna Park, Dortmund",Round of 16,27-06-2006,3–0,Germany,2006,,"['5&rsquor;|1:0|Ronaldo', '45+1&rsquor;|2:0|Adriano', '84&rsquor;|3:0|Zé Roberto']",,,,,,,,,,,,,,,,"['13&rsquor;|1:0|Adriano', '44&rsquor;|1:0|Juan']","['7&rsquor;|1:0|Stephen Appiah', '11&rsquor;|1:0|Sulley Muntari', '29&rsquor;|1:0|John Paintsil', '38&rsquor;|1:0|Eric Addo', '48&rsquor;|2:0|Asamoah Gyan']","['46&rsquor;|2:0|Gilberto Silva|for Emerson', '61&rsquor;|2:0|Juninho Pernambucano|for Adriano', '83&rsquor;|2:0|Ricardinho|for Kaká']","['60&rsquor;|2:0|Derek Boateng|for Eric Addo', '70&rsquor;|2:0|Alex Tachie-Mensah|for Matthew Amoah']"
Spain,France,1,3,43000,"HDI-Arena, Hannover",Round of 16,27-06-2006,1–3,Germany,2006,Franck Ribéry · 41|Patrick Vieira · 83|Zinédine Zidane · 90+2,,"['41&rsquor;|1:1|Franck Ribéry', '83&rsquor;|1:2|Patrick Vieira', '90+2&rsquor;|1:3|Zinédine Zidane']",,,David Villa (P) · 28,,,,,,,,,,,,['82&rsquor;|1:1|Carles Puyol'],"['68&rsquor;|1:1|Patrick Vieira', '87&rsquor;|1:2|Franck Ribéry', '90+1&rsquor;|1:2|Zinédine Zidane']","['54&rsquor;|1:1|Luis García|for Raúl', '54&rsquor;|1:1|Joaquín|for David Villa', '72&rsquor;|1:1|Marcos Senna|for Xavi']","['74&rsquor;|1:1|Sidney Govou|for Florent Malouda', '88&rsquor;|1:2|Sylvain Wiltord|for Thierry Henry']"
Italy,Australia,1,0,46000,"Fritz-Walter-Stadion, Kaiserslautern",Round of 16,26-06-2006,1–0,Germany,2006,,,,,,Francesco Totti (P) · 90+5,,,,,,,,Marco Materazzi · 50,,,,"['29&rsquor;|0:0|Fabio Grosso', '89&rsquor;|0:0|Gennaro Gattuso', '90+1&rsquor;|0:0|Gianluca Zambrotta']","['23&rsquor;|0:0|Vince Grella', '49&rsquor;|0:0|Tim Cahill', '61&rsquor;|0:0|Luke Wilkshire']","['46&rsquor;|0:0|Vincenzo Iaquinta|for Alberto Gilardino', '56&rsquor;|0:0|Andrea Barzagli|for Luca Toni', '75&rsquor;|0:0|Francesco Totti|for Alessandro Del Piero']",['81&rsquor;|0:0|John Aloisi|for Mile Sterjovski']
Switzerland,Ukraine,0,0,45000,"RheinEnergieSTADION, Köln",Round of 16,26-06-2006,(0) 0–0 (3),Germany,2006,,,,,,,,,,,"['3|0:1|Artem Milevskiy', '5|0:2|Serhiy Rebrov', '7|0:3|Oleh Husyev']","['2|0:0|Marco Streller', '4|0:1|Tranquillo Barnetta', '6|0:2|Ricardo Cabanas']",['1|0:0|Andriy Shevchenko'],,,,,['59&rsquor;|0:0|Tranquillo Barnetta'],,"['34&rsquor;|0:0|Stéphane Grichting|for Johan Djourou', '64&rsquor;|0:0|Marco Streller|for Hakan Yakin', '117&rsquor;|0:0|Mauro Lustrinelli|for Alexander Frei']","['75&rsquor;|0:0|Ruslan Rotan|for Maksym Kalynychenko', '94&rsquor;|0:0|Serhiy Rebrov|for Andriy Vorobey', '111&rsquor;|0:0|Artem Milevskiy|for Andriy Voronin']"
England,Ecuador,1,0,52000,"Mercedes-Benz Arena, Stuttgart",Round of 16,25-06-2006,1–0,Germany,2006,,['60&rsquor;|1:0|David Beckham'],,,,,,,,,,,,,,,,"['18&rsquor;|0:0|John Terry', '78&rsquor;|1:0|Paul Robinson', '82&rsquor;|1:0|Jamie Carragher']","['24&rsquor;|0:0|Antonio Valencia', '37&rsquor;|0:0|Carlos Tenorio', '67&rsquor;|1:0|Ulises de la Cruz']","['77&rsquor;|1:0|Jamie Carragher|for Joe Cole', '87&rsquor;|1:0|Aaron Lennon|for David Beckham', '90&rsquor;|1:0|Stewart Downing|for Steven Gerrard']","['69&rsquor;|1:0|Christian Lara|for Edwin Tenorio', '72&rsquor;|1:0|Iván Kaviedes|for Carlos Tenorio']"
Portugal,Netherlands,1,0,41000,"Max-Morlock-Stadion, Nürnberg",Round of 16,25-06-2006,1–0,Germany,2006,,['23&rsquor;|1:0|Maniche'],,,,,,,,,,,,,,Costinha · 45+1|Deco · 78,Khalid Boulahrouz · 63|Giovanni van Bronckhorst · 90+5,"['20&rsquor;|0:0|Maniche', '31&rsquor;|1:0|Costinha', '50&rsquor;|1:0|Petit', '60&rsquor;|1:0|Luís Figo', '73&rsquor;|1:0|Deco', '76&rsquor;|1:0|Ricardo', '76&rsquor;|1:0|Nuno Valente']","['2&rsquor;|0:0|Mark van Bommel', '7&rsquor;|0:0|Khalid Boulahrouz', '59&rsquor;|1:0|Giovanni van Bronckhorst', '73&rsquor;|1:0|Wesley Sneijder', '74&rsquor;|1:0|Rafael van der Vaart']","['34&rsquor;|1:0|Simão Sabrosa|for Cristiano Ronaldo', '46&rsquor;|1:0|Petit|for Pauleta', '84&rsquor;|1:0|Tiago Mendes|for Luís Figo']","['56&rsquor;|1:0|Rafael van der Vaart|for Joris Mathijsen', '67&rsquor;|1:0|John Heitinga|for Mark van Bommel', '84&rsquor;|1:0|Jan Vennegoor of Hesselink|for Phillip Cocu']"
